list push_back adding; mode=7; length=60000; min_time=0; mean_time=125100
vector center adding; mode=8; length=60000; min_time=6004900; mean_time=6005325
list center adding; mode=9; length=60000; min_time=237216200; mean_time=276752400
random numbers generation; mode=10; length=60000; min_time=0; mean_time=125225
vector random elements access; mode=11; length=60000; min_time=0; mean_time=0
list random elements access; mode=12; length=60000; min_time=122111600; mean_time=126490550
free test; mode=0; length=70000; min_time=0; mean_time=250400
vector push_back creation; mode=1; length=70000; min_time=1000000; mean_time=1376037.5
list push_back creation; mode=2; length=70000; min_time=6005500; mean_time=7631800
vector push_back creation with preallocation; mode=3; length=70000; min_time=999300; mean_time=1125937.5
vector insert at beginning adding; mode=4; length=70000; min_time=13013800; mean_time=14388050
list push_front adding; mode=5; length=70000; min_time=0; mean_time=125125
vector push_back adding; mode=6; length=70000; min_time=0; mean_time=0
list push_back adding; mode=7; length=70000; min_time=0; mean_time=0
vector center adding; mode=8; length=70000; min_time=9007600; mean_time=9884112.5
list center adding; mode=9; length=70000; min_time=282258400; mean_time=309157512.5
random numbers generation; mode=10; length=70000; min_time=0; mean_time=0
vector random elements access; mode=11; length=70000; min_time=0; mean_time=250325
list random elements access; mode=12; length=70000; min_time=127116100; mean_time=131119337.5
free test; mode=0; length=80000; min_time=0; mean_time=250275
vector push_back creation; mode=1; length=80000; min_time=999800; mean_time=1000762.5
list push_back creation; mode=2; length=80000; min_time=6004500; mean_time=6755975
vector push_back creation with preallocation; mode=3; length=80000; min_time=0; mean_time=875812.5
vector insert at beginning adding; mode=4; length=80000; min_time=15013100; mean_time=15514012.5
list push_front adding; mode=5; length=80000; min_time=0; mean_time=250237.5
vector push_back adding; mode=6; length=80000; min_time=0; mean_time=125200
list push_back adding; mode=7; length=80000; min_time=0; mean_time=0
vector center adding; mode=8; length=80000; min_time=8006700; mean_time=8382787.5
list center adding; mode=9; length=80000; min_time=313284800; mean_time=319791362.5
random numbers generation; mode=10; length=80000; min_time=0; mean_time=0
vector random elements access; mode=11; length=80000; min_time=0; mean_time=0
list random elements access; mode=12; length=80000; min_time=127115800; mean_time=131244587.5
free test; mode=0; length=90000; min_time=0; mean_time=250200
vector push_back creation; mode=1; length=90000; min_time=1000600; mean_time=1501412.5
list push_back creation; mode=2; length=90000; min_time=7006200; mean_time=7756725
vector push_back creation with preallocation; mode=3; length=90000; min_time=1000100; mean_time=1501450
vector insert at beginning adding; mode=4; length=90000; min_time=17015500; mean_time=20518900
list push_front adding; mode=5; length=90000; min_time=0; mean_time=375387.5
vector push_back adding; mode=6; length=90000; min_time=0; mean_time=125137.5
list push_back adding; mode=7; length=90000; min_time=0; mean_time=250300
vector center adding; mode=8; length=90000; min_time=9008700; mean_time=10635325
list center adding; mode=9; length=90000; min_time=357325400; mean_time=397487425
random numbers generation; mode=10; length=90000; min_time=0; mean_time=0
vector random elements access; mode=11; length=90000; min_time=0; mean_time=125100
list random elements access; mode=12; length=90000; min_time=123112000; mean_time=132370325
free test; mode=0; length=100000; min_time=0; mean_time=250200
vector push_back creation; mode=1; length=100000; min_time=1000600; mean_time=1626362.5
list push_back creation; mode=2; length=100000; min_time=8006700; mean_time=8882887.5
vector push_back creation with preallocation; mode=3; length=100000; min_time=999800; mean_time=1000850
vector insert at beginning adding; mode=4; length=100000; min_time=19016100; mean_time=19767562.5
list push_front adding; mode=5; length=100000; min_time=0; mean_time=250487.5
vector push_back adding; mode=6; length=100000; min_time=0; mean_time=0
list push_back adding; mode=7; length=100000; min_time=0; mean_time=0
vector center adding; mode=8; length=100000; min_time=9006900; mean_time=9883612.5
list center adding; mode=9; length=100000; min_time=387354100; mean_time=458418325
random numbers generation; mode=10; length=100000; min_time=0; mean_time=0
vector random elements access; mode=11; length=100000; min_time=0; mean_time=0
list random elements access; mode=12; length=100000; min_time=128116700; mean_time=146258762.5
free test; mode=0; length=110000; min_time=0; mean_time=250237.5
vector push_back creation; mode=1; length=110000; min_time=1000800; mean_time=1876812.5
list push_back creation; mode=2; length=110000; min_time=9007400; mean_time=11510237.5
vector push_back creation with preallocation; mode=3; length=110000; min_time=1000800; mean_time=2126937.5
vector insert at beginning adding; mode=4; length=110000; min_time=22019100; mean_time=26774237.5
list push_front adding; mode=5; length=110000; min_time=0; mean_time=250312.5
vector push_back adding; mode=6; length=110000; min_time=0; mean_time=125087.5
list push_back adding; mode=7; length=110000; min_time=0; mean_time=125112.5
vector center adding; mode=8; length=110000; min_time=10008900; mean_time=11135225
list center adding; mode=9; length=110000; min_time=433396300; mean_time=531984812.5
random numbers generation; mode=10; length=110000; min_time=0; mean_time=0
vector random elements access; mode=11; length=110000; min_time=0; mean_time=0
list random elements access; mode=12; length=110000; min_time=127116000; mean_time=130869475
free test; mode=0; length=120000; min_time=0; mean_time=250262.5
vector push_back creation; mode=1; length=120000; min_time=1999700; mean_time=2126862.5
list push_back creation; mode=2; length=120000; min_time=10007600; mean_time=11510062.5
vector push_back creation with preallocation; mode=3; length=120000; min_time=1000700; mean_time=1751637.5
vector insert at beginning adding; mode=4; length=120000; min_time=23020600; mean_time=24772612.5
list push_front adding; mode=5; length=120000; min_time=0; mean_time=0
vector push_back adding; mode=6; length=120000; min_time=0; mean_time=0
list push_back adding; mode=7; length=120000; min_time=0; mean_time=0
vector center adding; mode=8; length=120000; min_time=11009200; mean_time=12260962.5
list center adding; mode=9; length=120000; min_time=468427500; mean_time=480938300
random numbers generation; mode=10; length=120000; min_time=0; mean_time=0
vector random elements access; mode=11; length=120000; min_time=0; mean_time=0
list random elements access; mode=12; length=120000; min_time=128116100; mean_time=135248362.5
free test; mode=0; length=130000; min_time=0; mean_time=375387.5
vector push_back creation; mode=1; length=130000; min_time=999900; mean_time=1376237.5
list push_back creation; mode=2; length=130000; min_time=11010600; mean_time=14387825
vector push_back creation with preallocation; mode=3; length=130000; min_time=1997900; mean_time=2251850
vector insert at beginning adding; mode=4; length=130000; min_time=25022500; mean_time=28025787.5
list push_front adding; mode=5; length=130000; min_time=0; mean_time=125100
vector push_back adding; mode=6; length=130000; min_time=0; mean_time=0
list push_back adding; mode=7; length=130000; min_time=0; mean_time=250212.5
vector center adding; mode=8; length=130000; min_time=12011100; mean_time=12761712.5
list center adding; mode=9; length=130000; min_time=516470900; mean_time=622067387.5
random numbers generation; mode=10; length=130000; min_time=0; mean_time=0
vector random elements access; mode=11; length=130000; min_time=0; mean_time=0
list random elements access; mode=12; length=130000; min_time=129117800; mean_time=143882237.5
free test; mode=0; length=140000; min_time=0; mean_time=250075
vector push_back creation; mode=1; length=140000; min_time=1000800; mean_time=1626412.5
list push_back creation; mode=2; length=140000; min_time=10009600; mean_time=11635875
vector push_back creation with preallocation; mode=3; length=140000; min_time=1000300; mean_time=1376312.5
vector insert at beginning adding; mode=4; length=140000; min_time=28025600; mean_time=34031212.5
list push_front adding; mode=5; length=140000; min_time=0; mean_time=375575
vector push_back adding; mode=6; length=140000; min_time=0; mean_time=0
list push_back adding; mode=7; length=140000; min_time=0; mean_time=250237.5
vector center adding; mode=8; length=140000; min_time=13012000; mean_time=15138787.5
list center adding; mode=9; length=140000; min_time=558508600; mean_time=637831875
random numbers generation; mode=10; length=140000; min_time=0; mean_time=0
vector random elements access; mode=11; length=140000; min_time=0; mean_time=250062.5
list random elements access; mode=12; length=140000; min_time=126114500; mean_time=135873537.5
free test; mode=0; length=150000; min_time=0; mean_time=250050
vector push_back creation; mode=1; length=150000; min_time=1000400; mean_time=1876575
list push_back creation; mode=2; length=150000; min_time=11009400; mean_time=13511975
vector push_back creation with preallocation; mode=3; length=150000; min_time=2001300; mean_time=2252037.5
vector insert at beginning adding; mode=4; length=150000; min_time=29025800; mean_time=29151525
list push_front adding; mode=5; length=150000; min_time=0; mean_time=375325
vector push_back adding; mode=6; length=150000; min_time=0; mean_time=0
list push_back adding; mode=7; length=150000; min_time=0; mean_time=124887.5
vector center adding; mode=8; length=150000; min_time=14012500; mean_time=14763462.5
list center adding; mode=9; length=150000; min_time=577525500; mean_time=588161300
random numbers generation; mode=10; length=150000; min_time=0; mean_time=0
vector random elements access; mode=11; length=150000; min_time=0; mean_time=125012.5
list random elements access; mode=12; length=150000; min_time=127115600; mean_time=129242650
free test; mode=0; length=160000; min_time=0; mean_time=375275
vector push_back creation; mode=1; length=160000; min_time=1000400; mean_time=1626512.5
list push_back creation; mode=2; length=160000; min_time=12010600; mean_time=13387237.5
vector push_back creation with preallocation; mode=3; length=160000; min_time=1000000; mean_time=1626312.5
vector insert at beginning adding; mode=4; length=160000; min_time=31027600; mean_time=31528850
list push_front adding; mode=5; length=160000; min_time=0; mean_time=0
vector push_back adding; mode=6; length=160000; min_time=0; mean_time=125137.5
list push_back adding; mode=7; length=160000; min_time=0; mean_time=375600
vector center adding; mode=8; length=160000; min_time=15013300; mean_time=20767850
list center adding; mode=9; length=160000; min_time=623568100; mean_time=632576500
random numbers generation; mode=10; length=160000; min_time=0; mean_time=0
vector random elements access; mode=11; length=160000; min_time=0; mean_time=0
list random elements access; mode=12; length=160000; min_time=124113100; mean_time=129618187.5
free test; mode=0; length=170000; min_time=0; mean_time=375337.5
vector push_back creation; mode=1; length=170000; min_time=1000300; mean_time=1876775
list push_back creation; mode=2; length=170000; min_time=13011500; mean_time=13637387.5
vector push_back creation with preallocation; mode=3; length=170000; min_time=1001000; mean_time=1751450
vector insert at beginning adding; mode=4; length=170000; min_time=33029200; mean_time=33280337.5
list push_front adding; mode=5; length=170000; min_time=0; mean_time=375200
vector push_back adding; mode=6; length=170000; min_time=0; mean_time=125137.5
list push_back adding; mode=7; length=170000; min_time=0; mean_time=125100
vector center adding; mode=8; length=170000; min_time=16013800; mean_time=16264700
list center adding; mode=9; length=170000; min_time=658601700; mean_time=740675450
random numbers generation; mode=10; length=170000; min_time=0; mean_time=0
vector random elements access; mode=11; length=170000; min_time=0; mean_time=0
list random elements access; mode=12; length=170000; min_time=126113700; mean_time=129743062.5
free test; mode=0; length=180000; min_time=0; mean_time=375400
vector push_back creation; mode=1; length=180000; min_time=2001400; mean_time=2251912.5
list push_back creation; mode=2; length=180000; min_time=18016400; mean_time=22520562.5
vector push_back creation with preallocation; mode=3; length=180000; min_time=2002900; mean_time=3127775
vector insert at beginning adding; mode=4; length=180000; min_time=35031100; mean_time=46542212.5
list push_front adding; mode=5; length=180000; min_time=0; mean_time=250275
vector push_back adding; mode=6; length=180000; min_time=0; mean_time=250225
list push_back adding; mode=7; length=180000; min_time=0; mean_time=250225
vector center adding; mode=8; length=180000; min_time=17015700; mean_time=22020100
list center adding; mode=9; length=180000; min_time=695633600; mean_time=771828937.5
random numbers generation; mode=10; length=180000; min_time=0; mean_time=0
vector random elements access; mode=11; length=180000; min_time=0; mean_time=125137.5
list random elements access; mode=12; length=180000; min_time=126114400; mean_time=142254575
free test; mode=0; length=190000; min_time=0; mean_time=500037.5
vector push_back creation; mode=1; length=190000; min_time=2998800; mean_time=3627787.5
list push_back creation; mode=2; length=190000; min_time=25019300; mean_time=26148675
